,Date,Ingredients
24,2020-04,"TheDAIQUIRIhas been given a bad rap since its Cuban inception 130 years ago.  While it started as the granddad of rum cocktails, it’s associated more commonly with adult strawberry slushies on the back of restaurant menus and over-indulgent drinking at spring break parties.  TheCLASSIC DAIQUIRIhowever is simple and balanced when high quality ingredients are used.  The recipe calls for a mix of light rum and a darker demerara sugar syrup, although simple syrup is okay to use if the demerara sygar syrup hasn’t been prepared (instructions detailed below).  Attention to detail pay off in achieving the perfect balance of sweet & acidity.,Requirements:Light rum, fresh lime juice, demerara sugar syrup (or simple syrup), lime twist,Combine all liquid ingredients into an ice-filled shaker and shake vigorously.  Strain into a chilled coupe and garnish with a lime twist or lime wheel.,Demerara Syrup:  This will add more depth of flavor than the standard simple syrup.  Take either a 2-1 ratio or 1-1 ratio of sugar to water, depending on your desire for sweetness, and combine in a pan on a stove top.  Heat at a light simmer until all the sugar dissolves, then cool before using.  The syrup has notes of molasses and toffee which will also pair well with dark spirits like bourbon and brandy; so bottle it and hang on to it.,Special Notes:Just as Cubans are known for their excellent hand-rolled cigars, it’s recommended here that the limes are rolled before juicing and then squeezed by hand, versus a juicer.  Per sources*, the oils from the rind add an extra flash of intensity that gives the cocktail a nice, bright edge.,*Liquor.com,Tags:angosturarumbicardiburnettswhiterumcaptainmorganrumcastillorumclassic_daiquiriclassicdaiquiricruzanrumdaiquiridonqrumlimejuicemccormickrumrum,July 10, 2021,February 26, 2021,May 18, 2022,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
25,2021-04,"TheHIGHLANDERcocktail is a flavorful whisky cocktail akin to the Rob Roy. It has many crazy variations. My preferred recipe is adapted from the Campbell bar, NYC.  It’s by far the easiest to make and simply shifts a Rob Roy from the cherry overtones to orange.  It has an old-world peat flavor that captures the imagination of days gone by.,Requirements:Blended Scotch Whisky, Sweet Vermouth, Orange Bitters, Orange twist,Fill a cocktail shaker with ice. Combine all liquid ingredients and stir for 30-60 seconds. (The other option is to shake, as in the video tutorial below.) Rim a cocktail glass with an orange peel and drop remaining peel in glass. Strain drink into glass and serve, up.,Comments:This was so good at the Campbell that it began my annoying habit of asking the bartender how he/she made it.  A blended scotch like Dewar’s is fine in this mix. For an extra special Highlander, you might try it with a single malt scotch. But mixing anything with a 12+year aged Scotch might be a waste of good Scotch since it’s hiding the special flavor and smoothness from aging.,Keet’s Cocktailstutorial of the Highlander cocktail (premier edition):,Tags:barcocktaildewarsrobroy,March 12, 2020,May 25, 2022,February 15, 2020,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
26,2019-12,"The drink of choice for writer Jack Kerouac and singer Jimmy Buffet,the MARGARITAis one of the most festive, popular drinks.  It first appeared in Mexico and then southern California in the 1930’s and ’40’s and since then has generated cash flow for many a Mexican restaurant.  As tequila brand options have increased in both quality and quantity, so has the popularity of the margarita.,My personal Margarita preference is the most simple, without additional mixes or sweeteners, and is chilled by shaking before pouring over ice. It requires only three ingredients: tequila, Cointreau & lime juice.,Rim the glass with salt after wetting rim with a lime wedge.  Discard the wedge. Fill the glass with ice.  Combine ingredients into an ice-filled cocktail shaker.  Shake well and strain into the prepared glass.  The glass may be garnished with a lime slice or not.,Reminder:  1.5 oz. equals 1 jigger;  3/4 oz. equals 1 pony.,Comments:  Obviously, rimming the glass with salt is optional.,Simpler is better, but allowing this basic recipe to “hydrate” on rocks for five minutes helps make it smoother from the start.  Also, smaller ice cubes work better than larger cubes in a Margarita.,Prove me wrong, but I’m convinced you can judge the quality of a Mexican restaurant by its Margarita.  If the bartender adds a (1) “sweet & sour” mix to a (2) “house” tequila and (3) Triple Sec liqueur — most of the time I’d be better off going somewhere else to eat and drink.,December 20, 2019,December 18, 2021,February 20, 2021,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
27,2021-09,"The MOJITO is an iconic Cuban cocktail that emerged from a Havana bar around 1910. It’s a bartender’s least favorite concoction to make in a bar, not because it requires many types of liquor, but because it’s time-consuming to prepare properly. So avoid ordering these from the bartender and make them at home, where you can also be sure that your mint is fresh. The video tutorial link above shows the steps.,Requirements:8-10 mint leaves, mint sprig, simple syrup, white rum, lime juice, seltzer/club soda,In a Collins glass, gently muddle the mint leaves with simple syrup. Add white rum, lime juice and seltzer (or club soda). Fill glass halfway with crushed ice and stir. Top the glass with more crushed ice and gently incorporate with a quick stir. Garnish with a mint sprig. Place straw between the mint sprig leaves.,Particulars:Place the mint leaves in the palm of your hand and slap them hard with the other to open the mint oils before placing the sprig leaves garnish in the glass. Some like to top the glass, after filled with crushed ice, with a bit more seltzer or even sometimes more rum (3/4 oz.). Many disagree with the addition of any seltzer or club soda at all. Cuban Mojitos use sugar instead of simple syrup. Some methods suggest shaking (pre-seltzer), not stirring. Others like to muddle quarter cuts of lime with mint at the base of the Collins glass and leave the lime inside the drink, much like a caipirinha.  You can pick and choose your favorite preparation method.,History:  The Mojito evolved from an earlier 16th-century drink similar to a Caipirinha which was used to settle the stomach of the Englishman Sir Francis Drake, who was a “privateer” (pirate) and later switched out the cachaca for rum.,Favorite Drink Of:Ernest Hemingway,Tags:bacardiclearrumclubsodacubancocktailscubandrinksernesthemingwayhavanahavanacocktailshavanadrinkslimelimejuicemintmintleavesmojitorumsilverrumsimplesyrupsletzer,January 16, 2020,April 12, 2022,December 26, 2019,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
28,2021-08,"We salute and toast the dedication and accomplishments of all athletes who made the Olympic journey to Tokyo, 2021. A nice Japanese drink to toast them is theSHOCHU MELON CITRUScocktail.  The Japanese liquor, shochu (detailed below), is extremely popular in Japan, but not as well known internationally as its sake. Shochu’s clean and mild flavor is similar to vodka in allowing many elaborations and opportunities for cocktails. Here’s one that can be fine-tuned to suit your taste:,Requirements:Shochu, melon liqueur (Midora preferred), club soda or seltzer (optional) fresh lemon juice, cherry and/or orange slice,Add all ingredients except club soda to an ice-filled shaker.  Shake well and strain into an ice-filled glass.  A dash (1.5 oz.) of club soda or seltzer may be added.  Stir gently.  Garnish with a maraschino cherry and/or orange slice.,Shochu:In Japan, shochu is actually more popular than sake and is different in several ways.  Shochu is distilled; sake is fermented.  Shochu is made from either barley, sweet potato or rice; sake is made only from rice.  Shochu is stronger at 25-30% alcohol; sake is 15-18% alcohol.  Good quality shochu – Honkaku Shochu, or classic shochu – issingledistilled, so it retains the characters of the base ingredient. A sweet potato shochu is very different from a rice shochu.  Because of the variations in flavor, not all shochu works in every shochu cocktail.,Comments:I like adding the dash of club soda or seltzer to this drink.  With two garnishes added, it becomes multi-dimensional in flavor. I used a roasted barley-derived Honkaku Shochu which gave it a slight nutty/sesame flavor. There is other popular shochu derived from rice & sweet potato, which I can’t yet speak for.  Bottles of shochu at my nearby NYC wine & liquor store ranged from $21-55.,Tags:clubsodacocktailcocktailshonkakuhonkakushochujapanesecocktailskintarolemonjuicemelonliqueurmidoriliqueurmidorimelonliqueurolympiccocktailsolympicdrinksolympicsolympictoastssakeseltzershochushochumelon citrusshochumeloncocktail,December 31, 2019,October 11, 2020,January 10, 2020,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
29,2021-06,"Applejackevolved from American apple brandy back in the 1600’s [SeeHistory]. It’s as American as apple pie and is underrated as a cocktail mixer. Many mixologists and bartenders in the know agree that Applejack is a better mixer than so-called prestigious European apple brandies. Two such Applejack recipes are known simply asAPPLEJACK NO. 1andAPPLEJACK NO. 2.  Both are equally delicious.  Your choice of the two depends upon whether you prefer sweetening with Demerara Syrup (simple syrup can also be used) or with sweet vermouth.,Applejack No. 1,Shake ingredients in an ice-filled shaker.  Strain into a rocks glass filled with ice.,Applejack No. 2,Substitute sweet vermouth (1/2 oz.) for the syrup sweetener used in Applejack No. 1.  Shake and strain into an ice-filled rocks glass.,History:The American colonists increased hard cider’s alcohol content by leaving barrels outside overnight to freeze, a method known as “jacking,”  which allowed drinkers to separate the higher-proof alcohol.   “Applejack” became the product of Scotsman and distiller  William Laird (1698)  in New Jersey and was such a favorite of George Washington that Laird shared the recipe with Washington, who shared Applejack with the state of Virginia.  Today, Laird’s Applejack is a pure spirit beverage made from a blend of apple brandy and neutral grain spirits.  Federal guidelines for Applejack require that it be a blend of at least 20% apple distillate with neutral grain spirit and aged at least two years in oak.,Comment:As America’s oldest spirit (before bourbon), an Applejack cocktail is a great way to celebrate Thanksgiving and Independence Day.,Tags:applebrandyapplejackbrandycocktailcocktail&sonscocktailsdemerarasyrupgeorgewashingtonlairdlaird&companyregansorangebitterssimplesyrupwhiskey,February 6, 2020,March 1, 2022,July 31, 2021,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
30,2020-02,"TheBETWEEN THE SHEETScocktail was short-changed from the start by giving it a cheap romance-novel name.  Let’s face it, who’s going to yell to a bartender across mixed company a drink request with this long, provacative name? For short, let’s call it a BTS, with a nod to the Korean pop band.  This under-appreciated cocktail indeed dances into your heart, or at least your palate, by basically adding rum to the Sidecar cocktail.  So it starts good, and ends up great.  (Maybe the drink order at dinner could go something like, “I’ll have a BTS, shaken, not stirred, up, with a twist.”),Requirements:Brandy or cognac, light rum, Cointreau, simple syrup, lemon juice, orange peel,Mix all liquid ingredients in an ice-filled shaker.  Shake vigorously and strain into a chilled cocktail glass.  Squeeze an orange peel over the drink and add as garnish.  Serve “up”.,Comment:This is one ounce of liquor more than a Sidecar; so it’s strong.  But it’s a well-rounded, smooth cocktail.  It doesn’t require the sugar on the cocktail glass rim like the Sidecar and is easy to make.  I prefer E&J brandy and Bicardi rum with the Cointreau. I’ve added a link below to a bartender’s instructional demo (although he suggests aged dark rum while most others specifically say light clear rum).,History:Created supposedly at Harry’s New York bar in Paris during Prohibition, 1930’s.,July 18, 2020,August 29, 2020,November 15, 2020,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
31,2021-04,"ABRANDY SOURis a an ages-old alternative to the standardWhiskey Sourfor those not fond of whiskey, or for those who seek the fruitier zest of brandy.  Since brandy is produced by distilling wine or fermenting fruit juices versus whiskey’s distillation of grain mash (corn, rye, barley, wheat, etc.), brandy brings a sometimes sweeter blend to the Sour than whiskey.  Proportions have changed many times over the years. The balance that I prefer is in the following recipe:,Requirements:Brandy or cognac, fresh lemon juice, Angostura bitters, simple syrup,Combine liquid ingredients in an ice-filled shaker.  Shake to blend and chill, then strain into an ice-filled glass.  Garnish with a lemon wheel and maraschino cherry.,Alternative RecipeThere have been variations of the Brandy Sour over the last 170 years, sometimes with egg whites, sometimes with powdered sugar, but usually with fresh lemon juice.  An equally fine version carries more of an orange-flavored theme.  This one I prefer with a “lower shelf” brandy, or when orange juice happens to be in the refrigerator:,History:Dates back to early 1850’s:  President Millard Fillmore, Harriot Beecher Stowe, Walt Whitman, Dostoevsky in Siberia, U.S. Fugitive Slave Act, purchase of New Mexico & Arizona, population of NYC @ 515,000 …Brandy Sour.,Tags:brandybrandycocktailsbrandydrinksbrandysourcocktailscognaccognaccocktailswhiskeywhiskeysour,August 19, 2020,February 26, 2021,January 29, 2022,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
32,2020-04,"TheBRONX COCKTAILwas invented by a Waldorf Astoria barman after visiting and being inspired by the opening of the Bronx Zoo in 1899, thereby giving the Bronx its own cocktail.  But theBronxcocktail didn’t find its way into a cocktail recipe book until 1908, when a San Francisco writer/barman named William Boothby enjoyed theBronxas prepared by a Pittsburgh barman named Billy Malloy, and published it.  Billy Malloy’s recipe is the most widely recognized and accepted mix of theBronx.  It’s a classic gin martini that adds a trio of extras to give it a fruitier character:,Requirements:dry gin ( Beafeater or Rutte preferred), sweet vermouth (Cinzano or Martini Rosso preferred), extra dry vermouth (Noilly Prat preferred), fresh orange juice, orange bitters (Regan’s No. 6 preferred),Combine all ingredients into an ice-filled shaker and shake vigorously.  Strain into a chilled cocktail glass.  Garnish with an orange peel.,Tags:beafeaterbeafeaterginbronxbronxcocktailcinzanococktaildrygindryvermouthginginmartinimartinimartinirossonoillypratorangejuicereganregansorangebittersrutterutteginsweetvermouthvermouth,February 24, 2022,June 2, 2022,April 3, 2022,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
33,2022-02,"Developed in McKeesport just southeast of Pittsburgh, theFUSSFUNGLEsweetens a rye Old-Fashioned with a special recipe of burnt brown sugar and molasses.  The sweetening mixture makes for a delicious whiskey treat and should be prepared in advance.  If you’re in the mood for something a little sweeter after dinner, a perfect companion for a cigar or even a 5PM pick-me-up, theFussfungleis a tasty two-ingredient cocktail to serve and quick to prepare when the syrup is in hand.,Requirements:Rye whiskey (Rittenhouse Bottled-In-Bond preferred), burnt brown sugar & molasses syrup (brown sugar, water, molasses), orange bitters (optional), orange peel garnish (optional),Add first the syrup to an ice-filled mixing glass, then the whiskey. A dash or two of orange bitters is optional. Stir until very chilled. Strain over a large ice cube in a rocks glass.  An orange peel may be added as garnish.,Burnt Brown Sugar-Molasses Syrup– Heat ½ cup of brown sugar in a small saucepan until sugar begins to darken on the edges. Stir and continue to cook over medium heat until melted and darkened further. Remove from heat and add ½ cup of water. Stir until sugar has dissolved fully and add ¼ cup molasses. Stir until molasses has dissolved. Remove from heat and refrigerate for up to one month.*,Comments:I used organic blackstrap molasses with brown sugar and found it delicious. If preparing as a standard Old-Fashioned, I’d use 1/2 – 3/4 oz. brown sugar-molasses syrup. The ratio of 2:1 whiskey to syrup works best for a sweeter drink.,History:TheFussfunglebecame Pittsburgh’s most popular nationwide cocktail export pre-prohibition. The Slavic community of McKeesport, PA created and developed it at the turn of the century.,* FromPITTSBURGH DRINKS, Cody McDevitt & Sean Enright, 2017 American Palate Publishing,Tags:brownsugarmolassesfussfunglemckeesportmckeesportpaoldfashionedpittsburghcocktailspittsburghdrinksrittenhousebottledinbondrittenhouseryerittenhousewhiskeyryeryecocktailsryedrinkssyrup,September 16, 2020,January 20, 2020,March 5, 2022,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
34,2021-12,"AFRENCH 75is a well-balanced and “zesty” cocktail that is enjoyed in New Year celebrations as well as in summer gatherings. It has herbal notes from the gin and tartness from the lemon juice which is offset by sweetness from simple syrup.   Sparkling wine — champagne, Prosecco or Cava — gives this drink its bubbly.  If you’re having this tasty yet potent drink, your inner Humphrey Bogart might need to recite his famous line while drinking it, “Here’s looking at you, kid,”  from Casablanca, where this drink was a centerpiece.,Requirements:dry gin (or cognac), lemon juice, simple syrup, sparkling wine (brut champagne, Prosecco, or Cava), lemon twist,Shake gin, lemon juice and simple syrup in an ice-filled shaker.  Strain into a champagne flute glass and top with either champagne, Prosecco or Cava.  Garnish with a lemon twist.,Comment:Many prefer the French 75 with cognac instead of gin.  It might even have started with with cognac before it shifted to the more popular gin.,History:Somewhere between 1915 and its published appearance in Harry Craddock’sThe Savoy Cocktail Book, this drink began being served in bars.  It got its name because it was as powerful a drink as was a French 75mm field gun in WWI.  It’s most famous movie moment was inCasablanca(1942) when Ingrid Bergman’s character orders a French 75 atRick’s Cafenightclub.,Tags:bogartbrutchampagnecasablancacavachampagnechampagnecocktailscocktailscognaccognaccocktailsfluteglassfrench75gingincocktailsgindrinkshumphreybogartingridbergmanlemonjuicenewyearcocktailsnewyeardrinksnewyearscocktailsnewyearsdrinksproseccorickscafesimplesyrup,July 15, 2020,July 2, 2021,May 28, 2022,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
35,2021-10,"TheJACK ROSEis a lost classic from the 1910’s that for no particular reason was pushed aside by time.  But to taste the blend of applejack, lemon juice and grenadine for the first time makes it a keeper in my books.  With just three key ingredients, it’s a quick and easy drink to prepare.,Requirements:Laird’s Applejack brandy, grenadine, lemon juice, Peychaud’s bitters (optional), lemon twist,Combine liquid ingredients into an ice-filled shaker.  Shake for 15-20 seconds and strain into a coup or martini glass.  Garnish with a lemon twist.,Comments:This sweet & tart mix over the mellow flavor of applejack brandy is as refreshing at the end of a fall apple-picking day as it is on a hot summer’s day. It presents itself beautifully at a cocktail or dinner party as well.,Tags:applejackapplejackbrandybrandyclassiccocktailsclassicdrinkscocktailsgrenadinejackroselairdsappplejacklemonjuicelemontwistolddrinkspeychaudsbitterssweetandtart,April 5, 2020,July 18, 2021,August 15, 2020,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
36,2022-04,"The MAIDEN’S PRAYER was originally the name of a popular lyric-embellished Polish piano solo from 1856. It appeared as a cocktail inAmerican Barby 1907 and evolved into a delicious gin, Cointreau, citrus and bitters cocktail around 1930. This is a beautifully proportioned mix with a perfect balance of sweet and tart. Your choice of bitters — Angostura, orange or grapefruit — will give it some pizazz to round it out. It’s easy to remember and only requires the two spirits.,Requirements:Dry gin, Cointreau, fresh lemon juice, orange juice, choice of Angostura, orange or grapefruit bitters,Combine ingredients in an ice-filled cocktail shaker. Shake vigorously and strain into a chilled cocktail glass.,Comments:This is a pre-prohibition drink with “legs.” After trying it for the first time, I could see why. Enjoy!,Tags:americanbarangosturabittersbarscocktailsdrygingingincocktailsgrapefruitbitterskeetlemonjuicemaidensprayerorangebittersorangejuicetanqueraygin,August 7, 2020,September 1, 2021,November 27, 2021,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
37,2020-02,"Here’s a drink for your next party.MISSISSIPPI PUNCHbecame a crowd-pleaser during the U.S. Civil War.  It originated in the south, though no one knows for sure if it started in Mississippi. It’s deceptively smooth and easy to drink, but has the components to pack a punch (pun intended, because I don’t think this is like your mother’s party punch).  For that reason, you may stretch it out some with club soda … or not.  The portions below are for a single serving.  Multiply the same proportions out for a group where a punch bowl can be used.,Requirements:brandy (or cognac), Jamaica dark rum, bourbon, club soda (optional), lemon, orange juice, simple syrup,Combine ingredients in an ice-filled shaker and shake thoroughly.  Pour into an old-fashioned glass and garnish with an orange wheel or wedge.  For a group, multiply portions by the number of imbibers and mix in a punch bowl.  Ornament the top of the punch bowl with pieces of orange.,Comment:If a punch bowl is used, ice may be added. But the ice might water the drink down, in which case club soda should not be used.  My preference would be to leave the ice out of the punch bowl, and put ice in a container for the individual glasses.  Also, I struggled with the correct amount of sweetner required to offset the lemon juice.  I think I got it right in the portions above, but keep your sweetner nearby in case you want more.,April 18, 2020,August 16, 2021,July 8, 2020,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
